date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:02	30/30	---M--	200	added ('OK')	text/plain	date:Mon,%2029%20Sep%202014%2014:57:29%20GMT	http://demo.posthemes.com/robots.txt		(from )
22:03:05	217455/217455	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2015:02:56%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/en/	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/en/index.html	(from )
22:03:10	455/455	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202020%2021:01:38%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/img/l/1.jpg	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/img/l/1.jpg	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
22:03:14	745749/745749	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2008:24:23%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/themes/theme_ecolife2/assets/cache/theme-b4379b15.css	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/themes/theme_ecolife2/assets/cache/theme-b4379b15.css	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
22:03:15	11574/11574	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Feb%202020%2016:20:50%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/img/l/2.jpg	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/img/l/2.jpg	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
22:03:15	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Jan%202021%2015:03:05%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/en/my-account	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/en/my-account.4.delayed	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
22:03:20	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
22:03:23	218041/218041	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2015:03:08%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/en/?SubmitCurrency=1&id_currency=2	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/en/index6edc.html	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
22:03:25	45564/45564	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2015:03:09%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/en/login?back=my-account	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/en/loginfd9a.html	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
22:03:27	217898/217898	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Jan%202021%2015:03:09%20GMT	http://demo.posthemes.com/pos_ecolife/layout2/en/?SubmitCurrency=1&id_currency=1	C:/Users/R%20o%20g%20e%20r%20s/OneDrive/Coding/Git%20Repo/improved-projects/Build%20an%20E-Ticket%20Website/ecolife/ecolife/demo.posthemes.com/pos_ecolife/layout2/en/indexe3c8.html	(from http://demo.posthemes.com/pos_ecolife/layout2/en/)
